Type,Mass,Luminosity,Radius,Temperature,ColorIndex,AbsMag,BoloCorr,BoloMag,ColorRGB
C3Ib,9.7,2.47e+04,3.78e+02,3776,1.37,-4.7,-1.53,-6.23,255206129
C3II,7.4,3.57e+03,1.44e+02,3776,1.37,-2.6,-1.53,-4.13,255221170
C3III,5.2,3.57e+02,4.55e+01,3776,1.37,-0.1,-1.53,-1.63,255240207
C3IV,2.9,1.00e+01,5.68e+00,4373,1.14,3.1,-0.85,2.25,255232209
C3V,0.7,1.20e-01,6.23e-01,4373,1.14,7.9,-0.85,7.05,255222196
C3VI,0.6,9.12e-02,5.42e-01,4373,1.14,8.2,-0.85,7.35,255222196
C4Ia0,15.0,2.71e+06,4.67e+03,3478,1.50,-9.3,-2.03,-11.33,255198107
C4Ia,12.6,4.29e+05,1.86e+03,3478,1.50,-7.3,-2.03,-9.33,255198107
C4Ib,10.2,4.29e+04,5.88e+02,3478,1.50,-4.8,-2.03,-6.83,255198107
C4II,7.8,6.20e+03,2.23e+02,3478,1.50,-2.7,-2.03,-4.73,255216157
C4III,5.4,6.80e+02,7.40e+01,3478,1.50,-0.3,-2.03,-2.33,255239198
C4IV,3.0,1.46e+01,8.28e+00,3978,1.29,3.1,-1.26,1.84,255227199
C4V,0.6,6.36e-02,5.47e-01,3978,1.29,9.0,-1.26,7.74,255215185
C4VI,0.5,6.36e-02,5.47e-01,3978,1.29,9.0,-1.26,7.74,255215185
C5Ia0,15.7,4.94e+06,7.55e+03,3180,1.65,-9.3,-2.68,-11.98,255190086
C5Ia,13.2,7.83e+05,3.00e+03,3180,1.65,-7.3,-2.68,-9.98,255190086
C5Ib,10.6,9.41e+04,1.04e+03,3180,1.65,-5.0,-2.68,-7.68,255190086
C5II,8.1,1.13e+04,3.61e+02,3180,1.65,-2.7,-2.68,-5.38,255211143
C5III,5.5,1.49e+03,1.31e+02,3180,1.65,-0.5,-2.68,-3.18,255237189
C5IV,3.0,2.27e+01,1.28e+01,3582,1.46,3.2,-1.84,1.36,255223189
C5V,0.5,5.20e-03,1.93e-01,3582,1.46,12.3,-1.84,10.46,255209174
C5VI,0.4,3.28e-02,4.85e-01,3582,1.46,10.3,-1.84,8.46,255209174
C6Ia0,14.8,1.09e+07,1.36e+04,2883,1.80,-9.3,-3.54,-12.84,255182064
C6Ia,12.4,1.57e+06,5.18e+03,2883,1.80,-7.2,-3.54,-10.74,255182064
C6Ib,10.0,2.73e+05,2.16e+03,2883,1.80,-5.3,-3.54,-8.84,255182064
C6II,7.6,2.73e+04,6.83e+02,2883,1.80,-2.8,-3.54,-6.34,255205130
C6III,5.2,3.95e+03,2.60e+02,2883,1.80,-0.7,-3.54,-4.24,255236180
C6IV,2.8,4.86e+01,2.36e+01,3187,1.64,3.2,-2.67,0.53,255218179
C6V,0.4,1.34e-03,1.24e-01,3187,1.64,14.6,-2.67,11.93,255206158
C6VI,0.3,3.07e-03,1.87e-01,3187,1.64,13.7,-2.67,11.03,255206158
C7Ia0,13.9,2.85e+07,2.74e+04,2585,1.98,-9.2,-4.69,-13.89,255173043
C7Ia,11.6,4.12e+06,1.04e+04,2585,1.98,-7.1,-4.69,-11.79,255173043
C7Ib,9.3,8.61e+05,4.77e+03,2585,1.98,-5.4,-4.69,-10.09,255173043
C7II,7.1,8.61e+04,1.51e+03,2585,1.98,-2.9,-4.69,-7.59,255200117
C7III,4.8,9.44e+03,4.99e+02,2585,1.98,-0.5,-4.69,-5.19,255235172
C7IV,2.5,1.46e+02,5.33e+01,2791,1.86,3.2,-3.86,-0.66,255214170
C7V,0.3,5.30e-04,1.01e-01,2791,1.86,16.8,-3.86,12.94,255204141
C7VI,0.3,5.30e-04,1.01e-01,2791,1.86,16.8,-3.86,12.94,255204141
C8Ia0,12.9,1.08e+08,6.82e+04,2288,2.17,-9.1,-6.23,-15.33,255165021
C8Ia,10.8,1.56e+07,2.59e+04,2288,2.17,-7.0,-6.23,-13.23,255165021
C8Ib,8.7,3.26e+06,1.18e+04,2288,2.17,-5.3,-6.23,-11.53,255165021
C8II,6.6,3.58e+05,3.92e+03,2288,2.17,-2.9,-6.23,-9.13,255195104
C8III,4.4,2.97e+04,1.13e+03,2288,2.17,-0.2,-6.23,-6.43,255234163
C8IV,2.3,6.70e+02,1.55e+02,2396,2.10,3.3,-5.61,-2.31,255209160
